ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
53,37,4.8272,-74.072,PFE,g/h,0.10128928,0.06670559,0.06580713,0.09142527,0.26204136,0.7364412,1.04994306,0.87517712,0.85459179,0.7379744,0.83572912,0.78203351,0.79634799,0.83304479,0.88277224,1.002505,1.00273397,0.97589061,0.79768134,0.68971643,0.60705572,0.51086296,0.33421603,0.18378127,0.10128928,
42,39,4.728607,-74.05397,ETH,mol/h,0.08796855,0.05751615,0.05624919,0.07535155,0.23869223,0.73538825,1.08967208,0.84139059,0.7897568,0.65144582,0.72193023,0.681021,0.70409013,0.75878871,0.83170943,1.02974127,0.99867445,0.92450665,0.72936583,0.60290094,0.52288715,0.43571846,0.2864366,0.15783953,0.08796855,
42,39,4.728607,-74.05397,NOX,g/h,66.85237286,40.69240959,39.23457888,56.3798982,184.05248836,490.65592511,657.93756215,569.12806624,581.37487428,513.09119339,545.12409407,505.87685789,518.65305789,545.77219741,578.67538579,652.61845101,652.13753468,604.40824274,505.85676729,472.62557654,430.90845198,358.67672451,235.42497299,141.68258058,66.85237286,
53,37,4.8272,-74.072,PNA,g/h,0.01631117,0.01111716,0.01172574,0.01727088,0.04825305,0.10248761,0.10576919,0.10370054,0.11490867,0.1033685,0.12318141,0.11082211,0.11190468,0.11233358,0.11427457,0.11958222,0.12204412,0.10828054,0.09098567,0.08822123,0.08043839,0.06919049,0.0480287,0.03081199,0.01631117,
53,37,4.8272,-74.072,TOL,mol/h,0.25715934,0.18434702,0.17626464,0.22626021,0.78723577,2.83532482,4.58959695,3.03485092,2.47496601,1.71575054,1.95370441,1.87362048,2.04877161,2.38241071,2.79226739,4.11649721,3.77694057,3.31121686,2.38155336,1.6966513,1.37739084,1.13259043,0.76974864,0.39123446,0.25715934,
53,37,4.8272,-74.072,PMOTHR,g/h,0.61940872,0.41921921,0.43280073,0.61897565,1.72858001,4.11289592,4.90940298,4.43512613,4.70625045,4.2021471,4.91152981,4.49300484,4.5517252,4.6528829,4.80058161,5.13804045,5.18614434,4.80756911,4.0388111,3.75433798,3.37407428,2.85458835,1.90050658,1.15096306,0.61940872,
42,39,4.728607,-74.05397,POC,g/h,0.57339862,0.39237605,0.40697797,0.58618431,1.64315316,3.77829755,4.36432876,4.01441782,4.25664386,3.77017767,4.44490106,4.04298374,4.09668187,4.17041298,4.30101051,4.64911177,4.69735308,4.29339714,3.55292452,3.28900001,2.9551776,2.52776881,1.71651102,1.06614138,0.57339862,
42,39,4.728607,-74.05397,ETOH,mol/h,0.00633183,0.00483195,0.00473483,0.00611034,0.02213287,0.07864057,0.1195999,0.07025004,0.05719949,0.03726626,0.04400698,0.04178305,0.04779692,0.05852247,0.07116283,0.11087484,0.0971614,0.07534874,0.05298394,0.03889868,0.03162566,0.02477051,0.01650972,0.00916472,0.00633183,
53,37,4.8272,-74.072,MEOH,mol/h,0.00081986,0.00047255,0.0004351,0.00055283,0.00122476,0.00508952,0.00814885,0.00609382,0.0070298,0.00741357,0.00798899,0.00774747,0.00765927,0.00803997,0.0084683,0.00767368,0.0077543,0.00810343,0.00787629,0.00796793,0.0073076,0.00573949,0.00313915,0.00148515,0.00081986,
53,37,4.8272,-74.072,TOG,g/h,426.14763424,273.22066608,253.58464014,331.08717128,1027.37389618,3752.71209759,6090.68903495,4358.50691621,4025.986995,3382.99346615,3686.03302619,3545.96730413,3686.86812358,4061.14771603,4501.71386112,5498.03414836,5265.34101159,5015.25043673,4091.67834307,3472.21055767,3028.18413127,2448.5071476,1504.39631441,744.63868532,426.14763424,
