Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
AK_45_AC_170,HABIL,1,3493,16,7.399632734,2.214762733,9.578185982,16.04866667,107.464,30.37401791,1828.524083,15.07333333,23.94,41.99,134.4154463,12.40817273,25.81076104,42.06777366,3.883364722,8.077949996,12.97781741,3.8843531,16.79866465,109.3922788,12.54176613,658.0829657,10.59768603,1.015891437,401.7688194,15.482202,8.97508404,9.723312259,11.46333334,599.184,247.3817808,169.8200172,2.808065755,0.840474063,3.634798783
AK_45_AC_170,HABIL,1,3493,17,1.176351871,0.352090486,1.522685977,17.822,117.6606667,33.42292316,2012.069003,17.024,27.67666666,35.65666666,100.4823249,9.275734888,19.29484557,28.27760108,2.610364868,5.429929554,6.375068202,1.908103277,8.251975615,120.3729365,13.80069265,724.140496,7.113586409,0.681906551,269.6831371,15.05214084,8.725776149,9.453220251,11.4,853.2266666,272.213649,186.8663344,1.024564532,0.306659455,1.326210367
AK_45_AC_170,HABIL,1,3493,18,0.41741518,0.124935334,0.540307927,14.63,95.31666667,33.34328391,2007.274698,18.44266667,25.14333334,30.52666666,73.44428993,6.779796972,14.10294032,23.31933678,2.152657056,4.477832319,2.997799928,0.897262851,3.880393296,120.0861151,13.76780873,722.4150333,4.037090097,0.386994411,153.0501015,16.47134269,9.548492186,10.34452387,11.65333334,634.8533334,271.5650255,186.4210742,0.265627842,0.079504303,0.343832318
AK_45_AC_170,HABIL,1,3493,19,6.868377052,2.055754127,8.89052135,16.66933333,84.94266667,34.41103982,2071.553893,19.59533333,27.42333334,29.00666666,62.28819525,5.749954394,11.96072154,13.09291667,1.208634693,2.514131767,4.174151799,1.249353336,5.403079272,123.9316469,14.20869689,745.5490151,1.700510619,0.163010508,64.46804919,13.28889005,7.703613801,8.345843022,10.45,385.0666666,280.2613844,192.3908583,2.200916403,0.658749941,2.848896344
AK_45_AC_170,HABIL,1,3493,20,8.424197266,2.521422188,10.90439635,17.46733333,77.05133333,31.81735648,1915.413455,18.886,28.56333334,27.36,50.04748027,4.619988233,9.610231487,10.53631164,0.972629102,2.023206629,3.453161943,1.033555942,4.469820125,114.5904747,13.13773651,689.3543151,0.919054594,0.088100335,34.84227391,10.53649858,6.108043304,6.617254175,8.74,300.2506666,259.1370799,177.8896701,1.973235396,0.590603395,2.554182929
AK_45_AC_170,HABIL,1,3493,21,6.602749209,1.976249823,8.54668903,11.61533333,73.85933333,24.8100854,1493.573843,18.70866667,25.58666666,18.36666666,45.708999,4.219493896,8.777146403,7.824760846,0.722320142,1.502528452,2.276810072,0.681465456,2.947134148,89.35372947,10.24435719,537.5348967,0.615299262,0.058982428,23.32660711,6.880978671,3.988926241,4.321472116,8.866666666,288.0906666,202.066224,138.7122752,3.567002446,1.067629215,4.617176833
AK_45_AC_170,HABIL,1,3493,22,4.85719482,1.453792973,6.287219516,18.62,42.56,13.28402409,799.7018384,12.94533333,23.68666666,9.943333337,30.98915187,2.860673828,5.950607732,7.747287967,0.715168457,1.487651933,2.125022734,0.636034426,2.750658538,47.84252352,5.48511968,287.8114444,0.617895462,0.059231299,23.42503162,4.902697301,2.842109946,3.079048882,5.7,210.064,108.191993,74.27049018,3.187534101,0.954051639,4.125987808
AK_45_AC_170,HABIL,1,3493,23,5.350503669,1.601443822,6.925765249,9.576,21.72333333,5.925750364,356.7317726,1.507333333,22.73666666,3.23,23.78417406,2.195567163,4.567091435,6.430249012,0.593589819,1.234751104,2.390650576,0.715538729,3.094490856,21.34163935,2.446807513,128.3872086,0.332313526,0.031855488,12.59833633,2.322330301,1.346262606,1.458496839,1.646666666,75.89866666,48.26238931,33.13065238,3.111640432,0.931336123,4.027750003
L_AK_104_AC_145,NOHAB,2,4428,0,0.118583858,0.035492992,0.15349657,11.36041667,2.549166667,6.251927183,376.3677052,0,1.425,3.720833334,3.050494637,0.28159758,0.585762949,0.387364398,0.035758423,0.074382597,0.14230063,0.042591591,0.184195884,22.51636789,2.58148951,135.4541501,0.26611044,0.025509278,10.08851151,0.215030583,0.124653945,0.135046003,1.979166666,67.13333334,50.91894277,34.95429498,0,0,0
L_AK_104_AC_145,NOHAB,2,4428,1,0.071150315,0.021295796,0.092097942,0.443333333,0.110833333,5.159959952,310.6309829,0,0.633333334,1.741666666,3.195756286,0.295006989,0.613656422,0.532626047,0.049167831,0.10227607,0.14230063,0.042591591,0.184195884,18.5836388,2.130604228,111.7956063,0.309921306,0.029708976,11.74942499,0.161272938,0.093490459,0.101284503,0.752083334,39.71,42.02539438,28.84914635,0.047433543,0.014197197,0.061398628
L_AK_104_AC_145,NOHAB,2,4428,2,0.094867087,0.028394394,0.122797256,0.3325,0.277083333,4.573112059,275.3025813,0,0.870833334,1.385416666,4.454690581,0.411221863,0.855399861,1.888401442,0.174322311,0.362615159,0.14230063,0.042591591,0.184195884,16.47010122,1.888288277,99.08096962,0.175243461,0.016798793,6.643653924,0.564455281,0.327216606,0.354495759,0.910416666,31.79333334,37.24580028,25.56810136,0,0,0
L_AK_104_AC_145,NOHAB,2,4428,3,0.071150315,0.021295796,0.092097942,0.110833333,0.16625,4.810923718,289.6189074,0,1.385416666,2.85,4.84205498,0.446980286,0.929782458,3.970485083,0.366523834,0.762421616,0.521768975,0.156169167,0.675384909,17.32658189,1.986483327,104.2333931,0.217431701,0.020842947,8.24305209,0.483818813,0.280471376,0.303853508,1.622916666,31.03333334,39.18266197,26.8976976,0.118583858,0.035492992,0.15349657
